att1,att16,att30,att35,att71,att84,att90,att94,att138,att147,att152,att162,att165,att184,att241,att265,att285,att304,att327,att329,att394,att411,att459,att464,att475,att577,att585,att631,att641,att699,att709,att719,att723,att724,att730
2,11.3413,11.5041,12.7586,9.11874,8.47176,11.7894,9.65911,9.93548,8.28711,7.22914,10.3311,6.74187,7.75739,6.78912,8.00965,8.03424,6.40879,7.16651,8.14153,7.78553,7.85095,7.08957,8.2269,6.51745,8.80675,7.61077,5.58681,7.63396,5.44834,6.42156,8.22898,8.21465,5.89213,4.0667
2,11.6655,12.3808,11.4922,10.0751,8.49257,11.94,9.09998,10.0846,9.14896,7.63814,9.25539,6.80451,7.20786,6.98767,8.45105,7.1104,6.38221,8.18559,7.23772,8.12343,8.32244,7.73766,6.8412,7.1122,7.32681,9.00014,5.75928,7.7352,5.36821,8.34051,7.54812,8.60387,6.54522,4.16742
2,10.3314,12.0793,11.8723,10.3177,8.45414,12.8426,11.758,10.2687,8.97733,7.88343,8.99897,6.89766,8.20831,7.40951,9.04081,7.78383,8.01103,8.88586,6.82981,7.96778,8.44784,7.94157,6.67278,7.63175,7.61915,9.92143,6.10227,7.99883,7.66829,8.20015,7.69409,8.49207,5.87034,4.19643
2,10.3025,11.9832,12.5761,10.0772,9.06166,11.688,11.3493,9.87279,9.05584,7.90851,8.90605,6.67105,8.24547,7.81323,8.80801,7.38603,6.45735,8.0754,8.10731,7.81284,8.19807,7.80817,6.54534,6.27672,7.34263,8.99589,5.69286,7.42774,5.7122,6.79797,8.38082,7.85677,6.56117,4.38335
2,10.5566,12.1645,12.2723,10.3731,9.41281,11.954,11.2734,9.70145,8.02994,8.18036,8.63911,7.74218,7.56382,7.23462,9.46731,6.90481,7.71461,8.2441,7.82281,7.82157,9.19737,7.70184,6.51641,6.58823,7.61122,8.14837,6.07486,7.50106,5.01823,11.566,8.53931,8.09728,4.98923,4.28293
2,11.295,11.694,11.7739,10.0767,9.28684,10.9841,11.0883,10.9536,8.79062,8.83605,9.99647,7.79093,7.62844,7.28895,8.34657,7.52637,6.7652,8.77106,7.88506,8.09068,9.41858,8.56261,8.65738,7.52959,8.09851,9.56289,5.72944,7.65748,5.31252,8.60016,8.32833,8.75468,5.99181,4.3009
2,9.87791,11.5946,12.4349,9.42698,8.4074,11.4552,9.65485,9.56699,8.24279,8.17793,8.60887,8.19776,8.35488,7.27029,9.14332,8.0885,8.65845,7.17016,7.22726,7.83839,8.39196,7.78965,7.05623,6.87686,7.06489,9.30116,6.54348,7.3207,6.52651,7.48369,7.9826,7.95944,5.58442,4.15868
2,10.4954,11.035,12.0088,9.66244,8.2618,10.5178,10.7069,8.76836,7.14827,7.9446,9.23165,7.69598,7.81493,6.72898,8.75591,7.2274,6.61571,7.29441,8.30072,7.5797,9.04709,7.53402,6.61735,6.18506,11.1389,8.97395,5.78026,7.40096,5.76868,6.42466,7.68303,7.62967,7.58918,4.10776
2,8.6233,10.3344,11.5009,9.16652,8.58038,11.1985,12.6821,8.8045,9.81405,7.39148,7.39851,7.23037,8.3684,8.96833,8.85106,8.30398,6.44858,8.87642,8.03205,7.68696,7.21154,7.0452,10.7783,6.12334,7.39146,7.04435,5.63498,7.18985,4.9973,6.99592,7.15935,7.40539,6.47853,4.13191
2,10.6804,12.0845,11.9546,9.63404,8.75349,11.7337,11.8592,10.8715,8.50507,8.95642,9.76285,7.31156,7.76702,8.10344,9.42672,7.91051,6.35562,7.82141,8.00291,7.63348,8.97292,7.78827,7.74922,8.21032,7.42681,8.97609,6.20846,7.56022,5.55912,7.96561,8.08828,9.1005,5.8111,4.25915
