,algorithm,dataset,K,bah_dist,u1,sgma1,u2,sgma2,fit_time,score_time,acc,balacc,auc
6,EKNN,ionosphere_selected,3,---,,,,,45.63367110888163,0.2845911605017526,0.9285714285714286,0.9216938616938617,0.9537446775446774
12,EKNN,ionosphere_selected,5,---,,,,,49.165667374928795,0.2646149748847598,0.9342857142857144,0.9329922299922299,0.9726606060606061
18,EKNN,ionosphere_selected,7,---,,,,,53.59236928621928,0.26713341554005937,0.9485714285714286,0.944153846153846,0.9749776223776225
24,EKNN,ionosphere_selected,9,---,,,,,54.823805777231854,0.33867667289007275,0.9457142857142857,0.9385299145299145,0.9783790209790212
4,KDN,ionosphere_selected,3,---,,,,,10.343784999847411,0.2203833566393171,0.3742857142857143,0.44513752913752913,0.6437381507381507
10,KDN,ionosphere_selected,5,---,,,,,12.575201416015625,0.3633946684428624,0.4057142857142857,0.5114817404817404,0.7331858585858587
16,KDN,ionosphere_selected,7,---,,,,,10.928622102737426,0.5179274381910052,0.4314285714285714,0.5487474747474748,0.787008547008547
22,KDN,ionosphere_selected,9,---,,,,,10.88464937210083,0.9010955810546875,0.48285714285714293,0.596010101010101,0.8254386946386946
3,KLN-Avg,ionosphere_selected,3,1.2949912334765354,0.027176134118788497,0.03585419056022928,0.2669604820686628,0.11324256565353914,30.8232852935791,0.14570395537785122,0.9371428571428572,0.944002331002331,0.967193783993784
9,KLN-Avg,ionosphere_selected,5,1.5055330846885693,0.03666866024581888,0.046719639980716265,0.35015273470389574,0.13053593459241106,29.843094062805175,0.145184268951416,0.9400000000000001,0.9409417249417249,0.9681121989121989
15,KLN-Avg,ionosphere_selected,7,1.6571362517014663,0.04309346145712394,0.052812886457850206,0.39727638679757943,0.13680456654632545,30.042369890213013,0.14862784249441965,0.9371428571428572,0.936941724941725,0.9706069930069929
21,KLN-Avg,ionosphere_selected,9,1.7833702961987254,0.048699412043848186,0.057194453914737715,0.4297615298272252,0.13894844314835034,28.099174785614014,0.13165839195251464,0.9400000000000001,0.9375905205905205,0.9708024864024865
2,KLN-Max,ionosphere_selected,3,1.389123351913364,0.04487595357427298,0.058794143166404744,0.4271524662978676,0.16802214814028482,29.642618894577026,0.13152129581996372,0.9285714285714286,0.9372346542346541,0.9681092463092462
8,KLN-Max,ionosphere_selected,5,1.7583892197895585,0.05264558248963702,0.0650259111585476,0.4870956571586733,0.16024527919617348,29.877471923828125,0.13742336136954172,0.9257142857142856,0.9315073815073814,0.9617476301476302
14,KLN-Max,ionosphere_selected,7,1.9846210873283003,0.0617707281597306,0.07097623505089079,0.5230001277048564,0.1541148396448943,31.17847933769226,0.12864881311144147,0.9228571428571429,0.9275578865578865,0.9590898212898213
20,KLN-Max,ionosphere_selected,9,2.1920774570735184,0.0705466539030317,0.07624713080959608,0.5501933333971812,0.14729636440650415,27.796761417388915,0.12849175930023193,0.9114285714285714,0.915113442113442,0.9551905205905206
1,KLN-Min,ionosphere_selected,3,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,28.8710976600647,0.12869163921901158,0.6399999999999999,0.5,0.5
7,KLN-Min,ionosphere_selected,5,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,29.9504282951355,0.14296278749193464,0.6399999999999999,0.5,0.5
13,KLN-Min,ionosphere_selected,7,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,29.83530969619751,0.13967054162706646,0.6399999999999999,0.5,0.5
19,KLN-Min,ionosphere_selected,9,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,27.29367537498474,0.12837754590170725,0.6399999999999999,0.5,0.5
5,kNN,ionosphere_selected,3,---,,,,,0.0004001617431640625,0.13342582430158342,0.86,0.8126495726495726,0.8474083916083914
11,kNN,ionosphere_selected,5,---,,,,,0.00019974708557128905,0.13834564958299908,0.8371428571428572,0.779025641025641,0.8663656565656565
17,kNN,ionosphere_selected,7,---,,,,,0.00020017623901367188,0.18236975737980435,0.8285714285714285,0.7652478632478633,0.8777463869463868
23,kNN,ionosphere_selected,9,---,,,,,0.00059967041015625,0.1382285703931536,0.8200000000000001,0.755025641025641,0.8834710178710179
