,algorithm,dataset,K,bah_dist,u1,sgma1,u2,sgma2,fit_time,score_time,acc,balacc,auc
1,KLN-Min,ionosphere_selected,3,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,29.513726711273193,0.13917382172175816,0.6399999999999999,0.5,0.5
2,KLN-Max,ionosphere_selected,3,1.389123351913364,0.04487595357427298,0.058794143166404744,0.4271524662978676,0.16802214814028482,29.64024624824524,0.13913671561649868,0.9285714285714286,0.9372346542346541,0.9681092463092462
3,KLN-Avg,ionosphere_selected,3,1.2949912334765354,0.027176134118788497,0.03585419056022928,0.2669604820686628,0.11324256565353914,29.72939238548279,0.13774329457964216,0.9371428571428572,0.944002331002331,0.967193783993784
4,KLN-Min,ionosphere_selected,5,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,29.70900583267212,0.1393137516294207,0.6399999999999999,0.5,0.5
5,KLN-Max,ionosphere_selected,5,1.7583892197895585,0.05264558248963702,0.0650259111585476,0.4870956571586733,0.16024527919617348,32.383749389648436,0.19488791942596437,0.9257142857142856,0.9315073815073814,0.9617476301476302
6,KLN-Avg,ionosphere_selected,5,1.5055330846885693,0.03666866024581888,0.046719639980716265,0.35015273470389574,0.13053593459241106,40.40198483467102,0.14311997617994035,0.9400000000000001,0.9409417249417249,0.9681121989121989
7,KLN-Min,ionosphere_selected,7,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,34.39394369125366,0.16156854288918632,0.6399999999999999,0.5,0.5
8,KLN-Max,ionosphere_selected,7,1.9846210873283003,0.0617707281597306,0.07097623505089079,0.5230001277048564,0.1541148396448943,33.719521808624265,0.19252365384783063,0.9228571428571429,0.9275578865578865,0.9590898212898213
9,KLN-Avg,ionosphere_selected,7,1.6571362517014663,0.04309346145712394,0.052812886457850206,0.39727638679757943,0.13680456654632545,35.3918360710144,0.16830322946820941,0.9371428571428572,0.936941724941725,0.9706069930069929
10,KLN-Min,ionosphere_selected,9,0.0012471593192406299,3.9650822308041306e-17,7.246452201188463e-17,4.4056469231157003e-17,7.67139398202397e-17,33.34497699737549,0.14824323654174804,0.6399999999999999,0.5,0.5
11,KLN-Max,ionosphere_selected,9,2.1920774570735184,0.0705466539030317,0.07624713080959608,0.5501933333971812,0.14729636440650415,32.2398380279541,0.14260599885668074,0.9114285714285714,0.915113442113442,0.9551905205905206
12,KLN-Avg,ionosphere_selected,9,1.7833702961987254,0.048699412043848186,0.057194453914737715,0.4297615298272252,0.13894844314835034,30.749758386611937,0.14285157476152693,0.9400000000000001,0.9375905205905205,0.9708024864024865
