,algorithm,dataset,fit_time,score_time,acc,balacc,prec,auc,,,,,,,,,,,
1,kNN,Leukemia_selected,0.000333256,0.009847287,0.980952381,0.973333333,1,0.98,,,,,,,,,,,
2,kNN,KentRidge_selected,0.000222074,0.008380116,0.865811966,0.845,0.870396825,0.880625,,,,,,,,,,,
3,kNN,centralNervous_selected,0.000111236,0.008006164,0.611111111,0.549047619,0.42,0.624732143,,,,,,,,,,,
4,kNN,GDS3257_selected,0.000111156,0.013869914,1,1,1,1,,,,,,,,,,,
5,KLN-Avg,Leukemia_selected,0.098825561,0.009717771,0.102539683,0.146666667,0.132222222,0.035851852,,,,,,,,,,,
6,KLN-Avg,KentRidge_selected,0.076393392,0.008541354,0.203846154,0.214166667,0.118650794,0.200833333,,,,,,,,,,,
7,KLN-Avg,centralNervous_selected,0.069398138,0.008117248,0.372222222,0.459166667,0.286161616,0.441904762,,,,,,,,,,,
8,KLN-Avg,GDS3257_selected,0.179663234,0.014124208,0.812698413,0.796666667,0.753478237,0.828776655,,,,,,,,,,,
9,KLN-Max,Leukemia_selected,0.092718098,0.010070959,0.084444444,0.12,0.109393939,0.051555556,,,,,,,,,,,
10,KLN-Max,KentRidge_selected,0.069622543,0.008276262,0.362393162,0.315,0.13537037,0.55125,,,,,,,,,,,
11,KLN-Max,centralNervous_selected,0.068290128,0.008243064,0.388888889,0.498690476,0.39023569,0.439821429,,,,,,,,,,,
12,KLN-Max,GDS3257_selected,0.169558949,0.014358728,0.965512266,0.962962963,0.946630037,0.918170595,,,,,,,,,,,
13,KLN-Min,Leukemia_selected,0.091386159,0.00983654,0.288253968,0.357777778,0.2502849,0.435555556,,,,,,,,,,,
14,KLN-Min,KentRidge_selected,0.07450774,0.008347894,0.817948718,0.806666667,0.758624339,0.858333333,,,,,,,,,,,
15,KLN-Min,centralNervous_selected,0.068955898,0.00814498,0.333333333,0.455,0.326868687,0.389702381,,,,,,,,,,,
16,KLN-Min,GDS3257_selected,0.171780454,0.014043239,0.996825397,0.996666667,0.994444444,0.919405163,,,,,,,,,,,
17,KDN,Leukemia_selected,0.095605903,0.045044633,0.893333333,0.846666667,1,0.970444444,,,,,,,,,,,
18,KDN,KentRidge_selected,0.07428564,0.04533037,0.843589744,0.8125,0.863888889,0.875,,,,,,,,,,,
19,KDN,centralNervous_selected,0.068733215,0.04101168,0.638888889,0.518214286,0.35,0.55547619,,,,,,,,,,,
20,KDN,GDS3257_selected,0.177998596,0.066362867,0.906637807,0.913636364,1,0.904876543,,,,,,,,,,,
21,EKNN,Leukemia_selected,7.867460065,0.05340678,0.980952381,0.973333333,1,1,,,26,EKNN,KentRidge_selected,7.422515816,0.058247103,0.865811966,0.845,0.870396825,0.88875
22,EKNN,KentRidge_selected,5.844822433,0.045344747,0.865811966,0.845,0.870396825,0.915416667,,,27,EKNN,GDS3257_selected,20.62178739,0.110049207,1,1,1,1
23,EKNN,centralNervous_selected,5.208771494,0.042682881,0.611111111,0.549047619,0.42,0.568928571,,,28,EKNN,nottermantrans_selected,2.961055544,0.040018432,1,1,1,1
24,EKNN,GDS3257_selected,15.35138273,0.084580035,1,1,1,1,,,29,EKNN,Leukemia_selected,9.443709029,0.065794122,0.980952381,0.973333333,1,1
25,NN,Leukemia_selected,0.643269009,0.000151146,0.985714286,0.98,1,1,,,30,EKNN,centralNervous_selected,6.929487864,0.057851212,0.611111111,0.549047619,0.42,0.594642857
26,NN,KentRidge_selected,0.479149315,0.000177315,0.882478632,0.87,0.862619048,0.9475,,,,,,,,,,,
27,NN,centralNervous_selected,0.513238562,0.000216528,0.694444444,0.5775,0.533333333,0.713809524,,,,,,,,,,,
28,NN,GDS3257_selected,0.58785979,0.000100657,1,1,1,1,,,,,,,,,,,
29,RF,Leukemia_selected,0.47004199,0.000988587,0.985714286,0.98,1,1,,,,,,,,,,,
30,RF,KentRidge_selected,0.458159977,0.001096114,0.881196581,0.863333333,0.860952381,0.967083333,,,,,,,,,,,
31,RF,centralNervous_selected,0.467821466,0.001158564,0.833333333,0.766666667,1,0.913005952,,,,,,,,,,,
32,RF,GDS3257_selected,0.456160678,0.000642398,1,1,1,1,,,,,,,,,,,
33,NB,Leukemia_selected,0.00266499,0.000158844,1,1,1,1,,,,,,,,,,,
34,NB,KentRidge_selected,0.002886719,0.000184469,0.898290598,0.886666667,0.876507937,0.950416667,,,,,,,,,,,
35,NB,centralNervous_selected,0.002554893,0.000196166,0.633333333,0.581428571,0.474444444,0.64577381,,,,,,,,,,,
36,NB,GDS3257_selected,0.002776119,0.00010274,1,1,1,1,,,,,,,,,,,
37,SVM,Leukemia_selected,0.001888514,0.00015731,0.980952381,0.973333333,1,1,,,,,,,,,,,
38,SVM,KentRidge_selected,0.001888381,0.000175505,0.876923077,0.856666667,0.874285714,0.938333333,,,,,,,,,,,
39,SVM,centralNervous_selected,0.002221452,0.000164707,0.65,0.5,0,0.653571429,,,,,,,,,,,
40,SVM,GDS3257_selected,0.002555238,9.65E-05,1,1,1,1,,,,,,,,,,,
